run_id,policy,suite,task_id,trial_id,seed,max_steps,num_trajectories,success_once,success_at_end,return,scope
20260809_task0_trial0,pi05_sft,libero_spatial,0,0,0,240,1,1.0,1.0,1.0,smoke_test_not_benchmark
20260809_task0_trials0-9,pi05_sft,libero_spatial,0,0-9,0,240,10,1.0,1.0,1.0,task0_10_reset_states_not_full_benchmark
20260809_task6_trials0-9,pi05_sft,libero_spatial,6,0-9,0,240,10,0.6,0.6,0.6,selected_ppo_target_not_full_benchmark
20260810_task6_trials0-9_a800,pi05_sft,libero_spatial,6,0-9,0,240,10,0.8,0.4,0.8,a800_pre_ppo_single_stochastic_run
20260810_task6_trials0-9_a1,pi05_sft_plus_ppo_10epochs,libero_spatial,6,0-9,42,240,10,1.0,0.9,1.0,a800_formal_a1_final_eval_single_run
20260810_task6_trials0-9_b20,pi05_sft_plus_task6_20demo_sft_500steps,libero_spatial,6,0-9,42,240,10,1.0,0.9,1.0,a800_formal_b20_checkpoint_reload_eval_single_run
