task_id,reset_window,success_once,success_at_end,reward
9,0-9,0.3,0.2,0.0020142018
6,0-9,0.6,0.6,0.0062644095
4,0-9,0.7,0.4,0.0049533374
3,0-9,0.8,0.4,0.008823363
5,0-9,0.8,0.8,0.009575445
8,0-9,0.9,0.8,0.008402592
0,0-9,1.0,1.0,0.0136765
1,0-9,1.0,1.0,0.0099818
2,0-9,1.0,1.0,0.008865888
7,0-9,1.0,1.0,0.0094253365
