group,window,num_trajectories,success_once,success_at_end,reward,success_once_percent,success_at_end_percent
A0,seen,10,0.3,0.2,0.0020142018,30.0,20.0
A0,unseen,10,0.3,0.3,0.0019118905,30.0,30.0
A1,seen,10,0.5,0.4,0.003885806,50.0,40.0
A1,unseen,10,0.2,0.2,0.0013946281,20.0,20.0
B20,seen,10,0.7,0.5,0.0057453667,70.0,50.0
B20,unseen,10,0.8,0.8,0.006820445,80.0,80.0
C20,seen,10,0.1,0.0,0.0004651163,10.0,0.0
C20,unseen,10,0.1,0.0,0.00057142857,10.0,0.0
